match_id,venue,innings,batting_team,bowling_team,total_runs
336022,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,68
336022,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,73
336023,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,51
336023,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,23
336024,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,57
336024,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,28
336025,Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,35
336025,Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,43
336026,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,41
336026,M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,71
336027,Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,32
336027,Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,42
336028,Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,43
336028,Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,68
336029,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,23
336029,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,44
336031,"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Kings XI Punjab,42
336031,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Deccan Chargers,74
336032,Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,60
336032,Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,56
336033,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,67
336033,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,65
336034,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,46
336034,M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,33
336035,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,47
336035,Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,51
336036,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,29
336036,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,35
336037,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Chennai Super Kings,26
336037,"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Deccan Chargers,44
336038,Wankhede Stadium,1,Rajasthan Royals,Delhi Daredevils,58
336038,Wankhede Stadium,2,Delhi Daredevils,Rajasthan Royals,28
336039,Wankhede Stadium,1,Kings XI Punjab,Chennai Super Kings,35
336039,Wankhede Stadium,2,Chennai Super Kings,Kings XI Punjab,35
336040,Dr DY Patil Sports Academy,1,Chennai Super Kings,Rajasthan Royals,42
336040,Dr DY Patil Sports Academy,2,Rajasthan Royals,Chennai Super Kings,41
392181,Newlands,1,Mumbai Indians,Chennai Super Kings,40
392181,Newlands,2,Chennai Super Kings,Mumbai Indians,40
392182,Newlands,1,Royal Challengers Bangalore,Rajasthan Royals,29
392182,Newlands,2,Rajasthan Royals,Royal Challengers Bangalore,14
392183,Newlands,1,Kings XI Punjab,Delhi Daredevils,67
392183,Newlands,2,Delhi Daredevils,Kings XI Punjab,58
392184,Newlands,1,Kolkata Knight Riders,Deccan Chargers,17
392184,Newlands,2,Deccan Chargers,Kolkata Knight Riders,37
392185,St George's Park,1,Chennai Super Kings,Royal Challengers Bangalore,68
392185,St George's Park,2,Royal Challengers Bangalore,Chennai Super Kings,46
392186,Kingsmead,1,Kings XI Punjab,Kolkata Knight Riders,46
392186,Kingsmead,2,Kolkata Knight Riders,Kings XI Punjab,60
392188,Newlands,1,Deccan Chargers,Royal Challengers Bangalore,62
392188,Newlands,2,Royal Challengers Bangalore,Deccan Chargers,31
392189,Kingsmead,1,Delhi Daredevils,Chennai Super Kings,59
392189,Kingsmead,2,Chennai Super Kings,Delhi Daredevils,60
392190,Newlands,1,Rajasthan Royals,Kolkata Knight Riders,50
392190,Newlands,2,Kolkata Knight Riders,Rajasthan Royals,38
392191,Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,49
392191,Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,44
392192,Kingsmead,1,Deccan Chargers,Mumbai Indians,55
392192,Kingsmead,2,Mumbai Indians,Deccan Chargers,49
392194,St George's Park,1,Royal Challengers Bangalore,Delhi Daredevils,44
392194,St George's Park,2,Delhi Daredevils,Royal Challengers Bangalore,43
392195,Newlands,1,Kings XI Punjab,Rajasthan Royals,32
392195,Newlands,2,Rajasthan Royals,Kings XI Punjab,32
392196,Kingsmead,1,Chennai Super Kings,Deccan Chargers,62
392196,Kingsmead,2,Deccan Chargers,Chennai Super Kings,69
392197,St George's Park,1,Mumbai Indians,Kolkata Knight Riders,55
392197,St George's Park,2,Kolkata Knight Riders,Mumbai Indians,47
392198,SuperSport Park,1,Delhi Daredevils,Rajasthan Royals,42
392198,SuperSport Park,2,Rajasthan Royals,Delhi Daredevils,33
392199,Kingsmead,1,Kolkata Knight Riders,Royal Challengers Bangalore,45
392199,Kingsmead,2,Royal Challengers Bangalore,Kolkata Knight Riders,46
392200,Kingsmead,1,Kings XI Punjab,Mumbai Indians,26
392200,Kingsmead,2,Mumbai Indians,Kings XI Punjab,23
392201,SuperSport Park,1,Deccan Chargers,Delhi Daredevils,37
392201,SuperSport Park,2,Delhi Daredevils,Deccan Chargers,37
392202,SuperSport Park,1,Chennai Super Kings,Rajasthan Royals,40
392202,SuperSport Park,2,Rajasthan Royals,Chennai Super Kings,38
392203,Buffalo Park,1,Mumbai Indians,Kolkata Knight Riders,40
392203,Buffalo Park,2,Kolkata Knight Riders,Mumbai Indians,26
392204,Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,38
392204,Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,35
392205,St George's Park,1,Deccan Chargers,Rajasthan Royals,39
392205,St George's Park,2,Rajasthan Royals,Deccan Chargers,29
392206,New Wanderers Stadium,1,Chennai Super Kings,Delhi Daredevils,47
392206,New Wanderers Stadium,2,Delhi Daredevils,Chennai Super Kings,49
392207,St George's Park,1,Kolkata Knight Riders,Kings XI Punjab,28
392207,St George's Park,2,Kings XI Punjab,Kolkata Knight Riders,51
392208,New Wanderers Stadium,1,Mumbai Indians,Royal Challengers Bangalore,25
392208,New Wanderers Stadium,2,Royal Challengers Bangalore,Mumbai Indians,51
392209,Buffalo Park,1,Chennai Super Kings,Deccan Chargers,53
392209,Buffalo Park,2,Deccan Chargers,Chennai Super Kings,52
392210,Kingsmead,1,Rajasthan Royals,Kings XI Punjab,57
392210,Kingsmead,2,Kings XI Punjab,Rajasthan Royals,29
392211,Kingsmead,1,Kolkata Knight Riders,Delhi Daredevils,54
392211,Kingsmead,2,Delhi Daredevils,Kolkata Knight Riders,57
392212,SuperSport Park,1,Deccan Chargers,Mumbai Indians,37
392212,SuperSport Park,2,Mumbai Indians,Deccan Chargers,41
392213,SuperSport Park,1,Royal Challengers Bangalore,Rajasthan Royals,29
392213,SuperSport Park,2,Rajasthan Royals,Royal Challengers Bangalore,31
392214,SuperSport Park,1,Chennai Super Kings,Kings XI Punjab,57
392214,SuperSport Park,2,Kings XI Punjab,Chennai Super Kings,52
392215,Buffalo Park,1,Mumbai Indians,Delhi Daredevils,30
392215,Buffalo Park,2,Delhi Daredevils,Mumbai Indians,36
392216,De Beers Diamond Oval,1,Deccan Chargers,Kings XI Punjab,52
392216,De Beers Diamond Oval,2,Kings XI Punjab,Deccan Chargers,45
392217,De Beers Diamond Oval,1,Rajasthan Royals,Chennai Super Kings,34
392217,De Beers Diamond Oval,2,Chennai Super Kings,Rajasthan Royals,37
392218,St George's Park,1,Mumbai Indians,Royal Challengers Bangalore,46
392218,St George's Park,2,Royal Challengers Bangalore,Mumbai Indians,39
392219,New Wanderers Stadium,1,Kolkata Knight Riders,Delhi Daredevils,33
392219,New Wanderers Stadium,2,Delhi Daredevils,Kolkata Knight Riders,47
392220,De Beers Diamond Oval,1,Deccan Chargers,Rajasthan Royals,42
392220,De Beers Diamond Oval,2,Rajasthan Royals,Deccan Chargers,30
392221,SuperSport Park,1,Kolkata Knight Riders,Royal Challengers Bangalore,38
392221,SuperSport Park,2,Royal Challengers Bangalore,Kolkata Knight Riders,46
392222,SuperSport Park,1,Kings XI Punjab,Mumbai Indians,51
392222,SuperSport Park,2,Mumbai Indians,Kings XI Punjab,42
392223,Kingsmead,1,Delhi Daredevils,Deccan Chargers,56
392223,Kingsmead,2,Deccan Chargers,Delhi Daredevils,50
392224,Kingsmead,1,Chennai Super Kings,Royal Challengers Bangalore,52
392224,Kingsmead,2,Royal Challengers Bangalore,Chennai Super Kings,33
392225,Kingsmead,1,Rajasthan Royals,Mumbai Indians,42
392225,Kingsmead,2,Mumbai Indians,Rajasthan Royals,26
392226,OUTsurance Oval,1,Delhi Daredevils,Kings XI Punjab,37
392226,OUTsurance Oval,2,Kings XI Punjab,Delhi Daredevils,37
392227,St George's Park,1,Mumbai Indians,Chennai Super Kings,49
392227,St George's Park,2,Chennai Super Kings,Mumbai Indians,35
392228,New Wanderers Stadium,1,Kolkata Knight Riders,Deccan Chargers,31
392228,New Wanderers Stadium,2,Deccan Chargers,Kolkata Knight Riders,50
392229,New Wanderers Stadium,1,Kings XI Punjab,Deccan Chargers,39
392229,New Wanderers Stadium,2,Deccan Chargers,Kings XI Punjab,46
392230,OUTsurance Oval,1,Delhi Daredevils,Rajasthan Royals,35
392230,OUTsurance Oval,2,Rajasthan Royals,Delhi Daredevils,24
392231,SuperSport Park,1,Chennai Super Kings,Kolkata Knight Riders,54
392231,SuperSport Park,2,Kolkata Knight Riders,Chennai Super Kings,56
392232,New Wanderers Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,37
392232,New Wanderers Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,27
392233,Kingsmead,1,Rajasthan Royals,Kolkata Knight Riders,46
392233,Kingsmead,2,Kolkata Knight Riders,Rajasthan Royals,29
392234,Kingsmead,1,Chennai Super Kings,Kings XI Punjab,50
392234,Kingsmead,2,Kings XI Punjab,Chennai Super Kings,29
392235,SuperSport Park,1,Mumbai Indians,Delhi Daredevils,30
392235,SuperSport Park,2,Delhi Daredevils,Mumbai Indians,60
392236,SuperSport Park,1,Royal Challengers Bangalore,Deccan Chargers,33
392236,SuperSport Park,2,Deccan Chargers,Royal Challengers Bangalore,64
392237,SuperSport Park,1,Delhi Daredevils,Deccan Chargers,49
392237,SuperSport Park,2,Deccan Chargers,Delhi Daredevils,83
392238,New Wanderers Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,52
392238,New Wanderers Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,59
392239,New Wanderers Stadium,1,Deccan Chargers,Royal Challengers Bangalore,31
392239,New Wanderers Stadium,2,Royal Challengers Bangalore,Deccan Chargers,36
419106,Dr DY Patil Sports Academy,1,Kolkata Knight Riders,Deccan Chargers,38
419106,Dr DY Patil Sports Academy,2,Deccan Chargers,Kolkata Knight Riders,62
419107,Brabourne Stadium,1,Mumbai Indians,Rajasthan Royals,69
419107,Brabourne Stadium,2,Rajasthan Royals,Mumbai Indians,39
419108,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Delhi Daredevils,44
419108,"Punjab Cricket Association Stadium, Mohali",2,Delhi Daredevils,Kings XI Punjab,39
419109,Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,24
419109,Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,61
419110,"MA Chidambaram Stadium, Chepauk",1,Deccan Chargers,Chennai Super Kings,57
419110,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Deccan Chargers,34
419111,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Delhi Daredevils,47
419111,"Sardar Patel Stadium, Motera",2,Delhi Daredevils,Rajasthan Royals,60
419112,M Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,50
419112,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,61
419113,Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,31
419113,Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,45
419114,Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,67
419114,Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,56
419115,M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,31
419115,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,59
419116,Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,52
419116,Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,56
419117,Barabati Stadium,1,Deccan Chargers,Kings XI Punjab,56
419117,Barabati Stadium,2,Kings XI Punjab,Deccan Chargers,27
419118,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kolkata Knight Riders,56
419118,"Sardar Patel Stadium, Motera",2,Kolkata Knight Riders,Rajasthan Royals,38
419119,Brabourne Stadium,1,Mumbai Indians,Royal Challengers Bangalore,45
419119,Brabourne Stadium,2,Royal Challengers Bangalore,Mumbai Indians,55
419120,Barabati Stadium,1,Deccan Chargers,Delhi Daredevils,47
419120,Barabati Stadium,2,Delhi Daredevils,Deccan Chargers,48
419121,"MA Chidambaram Stadium, Chepauk",1,Kings XI Punjab,Chennai Super Kings,38
419121,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kings XI Punjab,42
419122,Brabourne Stadium,1,Kolkata Knight Riders,Mumbai Indians,37
419122,Brabourne Stadium,2,Mumbai Indians,Kolkata Knight Riders,57
419123,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,38
419123,M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,29
419124,"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Kings XI Punjab,53
419124,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Rajasthan Royals,75
419125,Brabourne Stadium,1,Chennai Super Kings,Mumbai Indians,51
419125,Brabourne Stadium,2,Mumbai Indians,Chennai Super Kings,63
419126,"Sardar Patel Stadium, Motera",1,Deccan Chargers,Rajasthan Royals,55
419126,"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Deccan Chargers,54
419127,"Punjab Cricket Association Stadium, Mohali",1,Kolkata Knight Riders,Kings XI Punjab,50
419127,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Kolkata Knight Riders,42
419128,M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,64
419128,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,42
419129,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Chennai Super Kings,58
419129,"Sardar Patel Stadium, Motera",2,Chennai Super Kings,Rajasthan Royals,58
419130,Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,52
419130,Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,50
419131,Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,62
419131,Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,36
419132,Brabourne Stadium,1,Kings XI Punjab,Mumbai Indians,48
419132,Brabourne Stadium,2,Mumbai Indians,Kings XI Punjab,44
419133,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,51
419133,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,56
419134,Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,52
419134,Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,39
419135,Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,46
419135,Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,59
419136,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,41
419136,"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,51
419137,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Rajasthan Royals,66
419137,"MA Chidambaram Stadium, Chepauk",2,Rajasthan Royals,Chennai Super Kings,62
419138,Brabourne Stadium,1,Mumbai Indians,Deccan Chargers,53
419138,Brabourne Stadium,2,Deccan Chargers,Mumbai Indians,40
419139,Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,53
419139,Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,69
419140,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,54
419140,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,38
419141,"Vidarbha Cricket Association Stadium, Jamtha",1,Rajasthan Royals,Deccan Chargers,48
419141,"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Rajasthan Royals,52
419142,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,42
419142,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,46
419143,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,52
419143,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,70
419144,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,50
419144,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,44
419145,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,46
419145,M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,32
419146,"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,51
419146,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,56
419147,"Vidarbha Cricket Association Stadium, Jamtha",1,Chennai Super Kings,Deccan Chargers,55
419147,"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Chennai Super Kings,37
419148,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,60
419148,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,48
419149,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,45
419149,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,39
419150,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,47
419150,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,33
419151,"Vidarbha Cricket Association Stadium, Jamtha",1,Deccan Chargers,Royal Challengers Bangalore,35
419151,"Vidarbha Cricket Association Stadium, Jamtha",2,Royal Challengers Bangalore,Deccan Chargers,37
419152,Brabourne Stadium,1,Mumbai Indians,Delhi Daredevils,44
419152,Brabourne Stadium,2,Delhi Daredevils,Mumbai Indians,68
419153,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,Chennai Super Kings,22
419153,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kolkata Knight Riders,67
419154,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,30
419154,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,59
419155,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,39
419155,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,33
419156,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Deccan Chargers,43
419156,Himachal Pradesh Cricket Association Stadium,2,Deccan Chargers,Kings XI Punjab,45
419157,M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,34
419157,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,34
419158,Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,46
419158,Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,42
419159,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Chennai Super Kings,49
419159,Himachal Pradesh Cricket Association Stadium,2,Chennai Super Kings,Kings XI Punjab,49
419160,Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,38
419160,Feroz Shah Kotla,2,Delhi Daredevils,Deccan Chargers,39
419161,Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,42
419161,Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,44
419162,Dr DY Patil Sports Academy,1,Mumbai Indians,Royal Challengers Bangalore,54
419162,Dr DY Patil Sports Academy,2,Royal Challengers Bangalore,Mumbai Indians,44
419163,Dr DY Patil Sports Academy,1,Chennai Super Kings,Deccan Chargers,39
